id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1637995780077174785,1637995780077174785,2023-03-20 21:53:21 EDT,2023-03-20,21:53:21,-400,1599290425,nhmtnbkr1,Chris Pierdominici,,"For those Microsoft Outlook users in the audience, make sure to do an updates check immediately, there was a very serious Zero Day exploit found in Outlook warranting immediate patching -  https://t.co/H8vHVwUpoz",en,[],['https://www.crn.com/news/security/the-latest-critical-microsoft-outlook-vulnerability-5-things-to-know'],[],1,0,0,[],[],https://twitter.com/nhmtnbkr1/status/1637995780077174785,False,,0,,,,,,,,[],,,,
1637843152030629888,1637843152030629888,2023-03-20 11:46:51 EDT,2023-03-20,11:46:51,-400,902263872220004352,cloudtech24,CloudTech24,,"On Tuesday last week, Microsoft released details of a critical vulnerability present in its Outlook platform.   https://t.co/Oz1bpJinK7  #microsoftsecurity #microsoft365 #microsoft #mssp #cve #securityoperationscenter #vulnerabilitymanagement  https://t.co/4Pj4xYmZ3a",en,[],['https://cloudtech24.com/2023/03/outlook-vulnerability-cve-2023-23397-what-to-know/'],['https://pbs.twimg.com/media/FrrJqQsWcAEklE2.jpg'],0,0,0,"['microsoftsecurity', 'microsoft365', 'microsoft', 'mssp', 'cve', 'securityoperationscenter', 'vulnerabilitymanagement']",[],https://twitter.com/CloudTech24/status/1637843152030629888,False,,1,https://pbs.twimg.com/media/FrrJqQsWcAEklE2.jpg,,,,,,,[],,,,
1637768458845798401,1637768458845798401,2023-03-20 06:50:03 EDT,2023-03-20,06:50:03,-400,48739393,jasoncobine,Jason Cobine,,"Upgrade asap as zero day vulnerability is found in Microsoft Outlook. The software giant has pushed out fixes for at least 80 Windows flaws with special attention to CVE-2023-23397, a critical-severity issue that has been exploited in zero-day attacks.  https://t.co/ya8dgDRPpd",en,[],['https://www.securityweek.com/microsoft-patch-tuesday-zero-day-attacks/'],[],0,0,0,[],[],https://twitter.com/jasoncobine/status/1637768458845798401,False,,0,,,,,,,,[],,,,
