id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1574434120129708032,1574434120129708032,2022-09-26 12:22:00 EDT,2022-09-26,12:22:00,-400,2953160365,natsarllc,Natsar,,“Microsoft on Tuesday warned that its security teams have detected #zeroday exploitation of a critical vulnerability in its flagship #Windows platform.” #cybersecurity #CISO  https://t.co/znK0y58WFn,en,[],['https://buff.ly/3Dr0n0S'],[],0,0,0,"['zeroday', 'windows', 'cybersecurity', 'ciso']",[],https://twitter.com/NatsarLLC/status/1574434120129708032,False,,0,,,,,,,,[],,,,
1574341785689759745,1574341785689759745,2022-09-26 06:15:06 EDT,2022-09-26,06:15:06,-400,993154328,gurgling_mrd,AJ Durling,,"Apache has fixed a critical vulnerability in its vastly popular Struts project that was previously believed to have been resolved but, as it turns out, wasn't fully remedied. As such, CI... via @BleepinComputer #security #tech #MondayMotivation  https://t.co/4KUnseUsYS",en,"[{'screen_name': 'bleepincomputer', 'name': 'bleepingcomputer', 'id': '50026664'}]",['https://www.bleepingcomputer.com/news/security/critical-apache-struts-rce-vulnerability-wasnt-fully-fixed-patch-now/'],[],0,1,2,"['security', 'tech', 'mondaymotivation']",[],https://twitter.com/Gurgling_MrD/status/1574341785689759745,False,,0,,,,,,,,[],,,,
1574130137343344641,1574130137343344641,2022-09-25 16:14:05 EDT,2022-09-25,16:14:05,-400,1480145942812631043,manoranjannews1,Manoranjan News,,Microsoft Place of business Impacted With ‘Follina’ 0-Day Vulnerability: Researchers  https://t.co/hAO8JvaqlN,en,[],['https://sciencekar.in/2022/09/25/microsoft-place-of-business-impacted-with-follina-0-day-vulnerability-researchers/'],[],0,0,0,[],[],https://twitter.com/ManoranjanNews1/status/1574130137343344641,False,,0,,,,,,,,[],,,,
