id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1572076037743206401,1572066921297625088,2022-09-20 00:11:49 EDT,2022-09-20,00:11:49,-400,1471595244839964674,7mmfullmetal,Sebastian Alexander,,Security researchers have identified a critical vulnerability impacting Palo Alto Networks firewalls using the GlobalProtect Portal VPN. The vulnerability is tracked at CVE-2021-3064(CVSS: 9.8). Location  https://t.co/40MECPsadw,en,[],['https://vpnb.dk.dlapiper.com/global-protect/login.esp'],[],1,0,1,[],[],https://twitter.com/7mmfullmetal/status/1572076037743206401,False,,0,,,,,,,,[],,,,
1571953428305444864,1571953428305444864,2022-09-19 16:04:37 EDT,2022-09-19,16:04:37,-400,1246184959741657094,shertech4,SherTech,,Microsoft has Published a Critical Vulnerability for systems utilizing IPSec. Please ensure Windows is configured to automatically update with the latest security patches.  For more information and the latest security patches for your version of Windows:  https://t.co/8I1B8fW9Ei,en,[],['https://buff.ly/3f2ZLVa'],[],0,0,0,[],[],https://twitter.com/shertech4/status/1571953428305444864,False,,0,,,,,,,,[],,,,
1571890872064540672,1571890872064540672,2022-09-19 11:56:02 EDT,2022-09-19,11:56:02,-400,1183459942587654149,ievgeniy5,Ievgeniy,,Every 9 hours a critical vulnerability is released. Sign up to receive the F5 Labs newsletter for weekly updates on the latest #security research insights:  https://t.co/lN456A7o8r  https://t.co/yB7IQVIaAW,en,[],['https://bit.ly/3JHCOlA'],['https://pbs.twimg.com/media/FdB6ay6XkAY2Tf-.jpg'],0,0,0,['security'],[],https://twitter.com/Ievgeniy5/status/1571890872064540672,False,,1,https://pbs.twimg.com/media/FdB6ay6XkAY2Tf-.jpg,,,,,,,[],,,,
