id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1580101418090135552,1580101418090135552,2022-10-12 03:41:49 EDT,2022-10-12,03:41:49,-400,1349549274682441728,5tuxnet,Dawood Sajjadi #OpIran,,a critical #vulnerability in #Windows CryptoAPI reported to #Microsoft by the #NSA &amp; #NCSC. It allows attackers to manipulate public #X509 certificates to spoof their identity &amp; perform actions such as auth or code signing as the targeted #certificate.  https://t.co/fYjU4y1ONa  https://t.co/RMxokbbp64,en,[],['https://bit.ly/3RSBvmb'],['https://pbs.twimg.com/media/Fe2l3YzaEAEpS1Y.jpg'],1,0,2,"['vulnerability', 'windows', 'microsoft', 'nsa', 'ncsc', 'x509', 'certificate']",[],https://twitter.com/5tuxnet/status/1580101418090135552,False,,1,https://pbs.twimg.com/media/Fe2l3YzaEAEpS1Y.jpg,,,,,,,[],,,,
1580098190996656128,1580098190996656128,2022-10-12 03:29:00 EDT,2022-10-12,03:29:00,-400,864777798,swati_thn,Swati Khandelwal,,"#Microsoft's Patch Tuesday updates this month fix 85 vulnerabilities, including an actively exploited Windows Zero Day #vulnerability, but no patches yet for in-the-wild exploited Exchange Server vulnerabilities.  Read:  https://t.co/gLwSUgLU7Q  #infosec #cybersecurity #hacking",en,[],['https://thehackernews.com/2022/10/microsoft-patch-tuesday-fixes-new.html'],[],0,0,1,"['microsoft', 'vulnerability', 'infosec', 'cybersecurity', 'hacking']",[],https://twitter.com/Swati_THN/status/1580098190996656128,False,,0,,,,,,,,[],,,,
1579845784035434496,1579845784035434496,2022-10-11 10:46:01 EDT,2022-10-11,10:46:01,-400,15221598,jamesvgingerich,"James Gingerich, @Expeflow #WorkEasier #RPA",,North Korean hackers unleashed Chrome 0-day exploit on hundreds of US targets. (ars TECHNICA) #CyberAttack #CyberSecurity  https://t.co/iy8o8368Pk  https://t.co/EJDTTyC1BY,en,[],['https://buff.ly/3NjggJj'],['https://pbs.twimg.com/media/FO8vjO6X0AQIr3z.jpg'],0,1,1,"['cyberattack', 'cybersecurity']",[],https://twitter.com/jamesvgingerich/status/1579845784035434496,False,,1,https://pbs.twimg.com/media/FO8vjO6X0AQIr3z.jpg,,,,,,,[],,,,
