id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1647848984348614658,1647848984348614658,2023-04-17 02:26:28 EDT,2023-04-17,02:26:28,-400,747446877713375233,kcsfa,Kenya CyberSecurity & Forensics Association: KCSFA,,Microsoft released 83 security fixes including CVE-2023-23397. This critical vulnerability impacts all versions of the outlook desktop app on any Windows system. (Outlook Web and Microsoft 365 aren`t vulnerable since they do not support NTLM authentication). #CyberSecurity  https://t.co/RtwvdlD66Y,en,[],[],['https://pbs.twimg.com/media/Ft5Vw6VWwAA93Je.png'],1,4,8,['cybersecurity'],[],https://twitter.com/kcsfa/status/1647848984348614658,False,,1,https://pbs.twimg.com/media/Ft5Vw6VWwAA93Je.png,,,,,,,[],,,,
1647754753407942657,1647754753407942657,2023-04-16 20:12:01 EDT,2023-04-16,20:12:01,-400,185901733,pcwhispererprn,Jon Bartels,,Zero Day exploit with Chrome Browser  https://t.co/Fgf4fya8Oz,en,[],['https://www.forbes.com/sites/gordonkelly/2023/04/15/google-chrome-browser-zero-day-vulnerability-critical-chrome-update/amp/'],[],0,1,0,[],[],https://twitter.com/PCWhispererPrn/status/1647754753407942657,False,,0,,,,,,,,[],,,,
1647678999185833987,1647678999185833987,2023-04-16 15:11:00 EDT,2023-04-16,15:11:00,-400,477940781,horovits,Dotan Horovits ✈ KubeCon,,🚨 Zero Day exploit detected in #Chrome.  Google Issues New Warning For 3 Billion @googlechrome User. Patch ASAP  https://t.co/lfh1ZyHFMW #zeroday #vulnerability #CyberAttack #hackers,en,"[{'screen_name': 'googlechrome', 'name': 'chrome', 'id': '56505125'}]",['https://www.forbes.com/sites/gordonkelly/2023/04/15/google-chrome-browser-zero-day-vulnerability-critical-chrome-update/'],[],0,1,0,"['chrome', 'zeroday', 'vulnerability', 'cyberattack', 'hackers']",[],https://twitter.com/horovits/status/1647678999185833987,False,,0,,,,,,,,[],,,,
1647518255739809794,1647518255739809794,2023-04-16 04:32:16 EDT,2023-04-16,04:32:16,-400,1625106011077107713,cyberwarriorsme,Cyber Warriors Middle East,,Critical Vulnerability in Cisco Identity Services Engine (ISE) Allows Unauthorized Access to System Files  Read here  https://t.co/xYsXRxPKeg  #cisco #cyber #network #system #data  https://t.co/jEzm8rGoIy,en,[],['https://cyberwarriorsmiddleeast.com/critical-vulnerability-in-cisco-identity-services-engine-ise-allows-unauthorized-access-to-system-files/'],['https://pbs.twimg.com/media/Ft0pHgLX0AEFuBp.jpg'],0,0,0,"['cisco', 'cyber', 'network', 'system', 'data']",[],https://twitter.com/cyberwarriorsme/status/1647518255739809794,False,,1,https://pbs.twimg.com/media/Ft0pHgLX0AEFuBp.jpg,,,,,,,[],,,,
