id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1646568274941935626,1646568274941935626,2023-04-13 13:37:23 EDT,2023-04-13,13:37:23,-400,1342180610828193792,shoreline_io,Shoreline.io,,⚙️ New #Shorelineio Op Pack! Use our #opensource blueprint to detect &amp; #automate repair of the critical vulnerability found in the #Apache #Log4j library used in #Java applications.    https://t.co/VsZAJzFUZN   #DevOps #DevOpsTools #Runbooks #CloudComputing #Cloud #SRE #AIOps  https://t.co/tmMY1bdgvv,en,[],['https://buff.ly/417l9vE'],['https://pbs.twimg.com/media/FtnJG8IWYAA8gBZ.png'],0,1,1,"['shorelineio', 'opensource', 'automate', 'apache', 'log4j', 'java', 'devops', 'devopstools', 'runbooks', 'cloudcomputing', 'cloud', 'sre', 'aiops']",[],https://twitter.com/shoreline_io/status/1646568274941935626,False,,1,https://pbs.twimg.com/media/FtnJG8IWYAA8gBZ.png,,,,,,,[],,,,
1646510137631465474,1646510137631465474,2023-04-13 09:46:22 EDT,2023-04-13,09:46:22,-400,1152783467236790272,cyberpress_ak,cyberpress,,Microsoft patches vulnerability used in Nokoyawa ransomware attacks  https://t.co/81oNxRAQrG #cybersecurity #securitynews Thanks to CSOonline for this story  Microsoft has released a patch for a Windows zero day vulnerability that has been exploited by cybercriminals in ransomwa…,en,[],['https://ift.tt/JyZSMta'],[],0,0,0,"['cybersecurity', 'securitynews']",[],https://twitter.com/cyberpress_ak/status/1646510137631465474,False,,0,,,,,,,,[],,,,
1646413915406979072,1646413915406979072,2023-04-13 03:24:00 EDT,2023-04-13,03:24:00,-400,18229864,faisaly,Faisal Yahya,,"Critical vulnerability in Windows MSMQ service affects hundreds of thousands of systems (CVE-2023-21554). Microsoft issues patch, but many servers still at risk. #WindowsVulnerability  https://t.co/T8WkxNP7sl  https://t.co/rv3EwHCPwP",en,[],['https://buff.ly/3mmkxTR'],['https://pbs.twimg.com/media/Ftk8uw_XsAEi0dU.jpg'],0,0,1,['windowsvulnerability'],[],https://twitter.com/faisaly/status/1646413915406979072,False,,1,https://pbs.twimg.com/media/Ftk8uw_XsAEi0dU.jpg,,,,,,,[],,,,
