id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1647436261429321728,1647436261429321728,2023-04-15 23:06:27 EDT,2023-04-15,23:06:27,-400,125197244,fabrizio_degni,Fabrizio Degni,,0-day vulnerability  discovered and fixed for Chrome and Edge as CVE-2023-2033.  Please upgrade immediately your browsers.  More info:  https://t.co/YpSWb1Av6u  #vulnerability #0day #security #internet #chrome #edge  https://t.co/WLdPV14S2i,en,[],['https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2033'],['https://pbs.twimg.com/media/Ftzeg-LXgAEreAW.png'],0,1,0,"['vulnerability', '0day', 'security', 'internet', 'chrome', 'edge']",[],https://twitter.com/fabrizio_degni/status/1647436261429321728,False,,1,https://pbs.twimg.com/media/Ftzeg-LXgAEreAW.png,,,,,,,[],,,,
1647358873861226497,1647358873861226497,2023-04-15 17:58:56 EDT,2023-04-15,17:58:56,-400,1190751500240338944,managedguard,ManagedGuard,,"🚨 Checkpoint discovered 3 vulnerabilities in Microsoft Message Queuing (MSMQ) service, including #QueueJumper (CVE-2023-21554), a Critical vulnerability that could allow unauthorized attackers to remotely execute code.  More details 👇  #PatchNow   https://t.co/UOttwFdHBK",en,[],['https://research.checkpoint.com/2023/queuejumper-critical-unauthorized-rce-vulnerability-in-msmq-service/'],[],0,1,2,"['queuejumper', 'patchnow']",[],https://twitter.com/ManagedGuard/status/1647358873861226497,False,,0,,,,,,,,[],,,,
1647344043167195137,1647344043167195137,2023-04-15 17:00:00 EDT,2023-04-15,17:00:00,-400,17044556,michael_gazzano,Michael Gazzano,,"Check Point #Research has discovered three #vulnerabilities in the Microsoft Message Queuing (MSMQ) service, including a critical vulnerability that could allow unauthorized attackers to remotely execute arbitrary code.  https://t.co/KJdArsgISX",en,[],['https://sprou.tt/1kfFKC8YHgj'],[],0,0,0,"['research', 'vulnerabilities']",[],https://twitter.com/michael_gazzano/status/1647344043167195137,False,,0,,,,,,,,[],,,,
